location.x,location.y,scaling,size.x,size.y,request.location.x,request.location.y,request.level,request.size.x,request.size.y,native.fractional_coordinates.x,native.fractional_coordinates.y,native.native_size.x,native.native_size.y
0,0,0.2495,256,256,0,0,1,261,261,0.0,0.0,256.50523238315725,256.50523238315725
256,0,0.2495,256,256,1008,0,1,267,261,4.5128889322411965,0.0,256.50523238315725,256.50523238315725
512,0,0.2495,256,256,2036,0,1,266,261,4.025929780138824,0.0,256.50523238315725,256.50523238315725
768,0,0.2495,256,256,3060,0,1,267,261,4.538940244905007,0.0,256.50523238315725,256.50523238315725
1024,0,0.2495,256,256,4088,0,1,266,261,4.051981092802748,0.0,256.50523238315725,256.50523238315725
1280,0,0.2495,256,256,5112,0,1,267,261,4.564991557569101,0.0,256.50523238315725,256.50523238315725
1536,0,0.2495,256,256,6140,0,1,266,261,4.078032405466502,0.0,256.50523238315725,256.50523238315725
1792,0,0.2495,256,256,7164,0,1,267,261,4.591042870232968,0.0,256.50523238315725,256.50523238315725
2048,0,0.2495,256,256,8192,0,1,266,261,4.104083718130596,0.0,256.50523238315725,256.50523238315725
2304,0,0.2495,256,256,9216,0,1,267,261,4.617094182896835,0.0,256.50523238315725,256.50523238315725
2560,0,0.2495,256,256,10244,0,1,266,261,4.130135030794463,0.0,256.50523238315725,256.50523238315725
2816,0,0.2495,256,256,11268,0,1,267,261,4.64314549556093,0.0,256.50523238315725,256.50523238315725
3072,0,0.2495,256,256,12296,0,1,266,261,4.156186343458103,0.0,256.50523238315725,256.50523238315725
3328,0,0.2495,256,256,13320,0,1,267,261,4.669196808224569,0.0,256.50523238315725,256.50523238315725
3584,0,0.2495,256,256,14348,0,1,266,261,4.182237656122197,0.0,256.50523238315725,256.50523238315725
3840,0,0.2495,256,256,15372,0,1,267,261,4.695248120888209,0.0,256.50523238315725,256.50523238315725
4096,0,0.2495,256,256,16400,0,1,266,261,4.208288968786292,0.0,256.50523238315725,256.50523238315725
4352,0,0.2495,256,256,17424,0,1,267,261,4.7212994335523035,0.0,256.50523238315725,256.50523238315725
4608,0,0.2495,256,256,18452,0,1,266,261,4.234340281449477,0.0,256.50523238315725,256.50523238315725
4864,0,0.2495,256,256,19476,0,1,267,261,4.747350746216398,0.0,256.50523238315725,256.50523238315725
5120,0,0.2495,256,256,20504,0,1,266,261,4.260391594113571,0.0,256.50523238315725,256.50523238315725
5376,0,0.2495,256,256,21528,0,1,267,261,4.773402058879583,0.0,256.50523238315725,256.50523238315725
5632,0,0.2495,256,256,22556,0,1,266,261,4.286442906778575,0.0,256.50523238315725,256.50523238315725
5888,0,0.2495,256,256,23580,0,1,267,261,4.799453371544587,0.0,256.50523238315725,256.50523238315725
6144,0,0.2495,256,256,24608,0,1,266,261,4.31249421944176,0.0,256.50523238315725,256.50523238315725
6400,0,0.2495,256,256,25632,0,1,267,261,4.825504684208681,0.0,256.50523238315725,256.50523238315725
6656,0,0.2495,256,256,26660,0,1,266,261,4.338545532105854,0.0,256.50523238315725,256.50523238315725
6912,0,0.2495,256,256,27684,0,1,267,261,4.851555996871866,0.0,256.50523238315725,256.50523238315725
7168,0,0.2495,256,256,28712,0,1,266,261,4.364596844769949,0.0,256.50523238315725,256.50523238315725
7424,0,0.2495,256,256,29736,0,1,267,261,4.877607309535961,0.0,256.50523238315725,256.50523238315725
7680,0,0.2495,256,256,30764,0,1,266,261,4.390648157433134,0.0,256.50523238315725,256.50523238315725
7936,0,0.2495,256,256,31788,0,1,267,261,4.903658622200055,0.0,256.50523238315725,256.50523238315725
8192,0,0.2495,256,256,32816,0,1,266,261,4.416699470099047,0.0,256.50523238315725,256.50523238315725
8448,0,0.2495,256,256,33841,0,1,267,261,4.679717530647395,0.0,256.50523238315725,256.50523238315725
8704,0,0.2495,256,256,34869,0,1,266,261,4.192758378543658,0.0,256.50523238315725,256.50523238315725
8960,0,0.2495,256,256,35893,0,1,267,261,4.7057688433105795,0.0,256.50523238315725,256.50523238315725
9216,0,0.2495,256,256,36921,0,1,266,261,4.218809691206843,0.0,256.50523238315725,256.50523238315725
9472,0,0.2495,256,256,37945,0,1,267,261,4.7318201559737645,0.0,256.50523238315725,256.50523238315725
9728,0,0.2495,256,256,38973,0,1,266,261,4.244861003871847,0.0,256.50523238315725,256.50523238315725
9984,0,0.2495,256,256,39997,0,1,267,261,4.757871468638768,0.0,256.50523238315725,256.50523238315725
10240,0,0.2495,256,256,41025,0,1,266,261,4.270912316536851,0.0,256.50523238315725,256.50523238315725
10496,0,0.2495,256,256,42049,0,1,267,261,4.783922781301953,0.0,256.50523238315725,256.50523238315725
10752,0,0.2495,256,256,43077,0,1,266,261,4.296963629200036,0.0,256.50523238315725,256.50523238315725
11008,0,0.2495,256,256,44101,0,1,267,261,4.809974093965138,0.0,256.50523238315725,256.50523238315725
0,256,0.2495,256,256,0,1008,1,261,267,0.0,4.5128889322411965,256.50523238315725,256.50523238315725
256,256,0.2495,256,256,1008,1008,1,267,267,4.5128889322411965,4.5128889322411965,256.50523238315725,256.50523238315725
512,256,0.2495,256,256,2036,1008,1,266,267,4.025929780138824,4.5128889322411965,256.50523238315725,256.50523238315725
768,256,0.2495,256,256,3060,1008,1,267,267,4.538940244905007,4.5128889322411965,256.50523238315725,256.50523238315725
1024,256,0.2495,256,256,4088,1008,1,266,267,4.051981092802748,4.5128889322411965,256.50523238315725,256.50523238315725
1280,256,0.2495,256,256,5112,1008,1,267,267,4.564991557569101,4.5128889322411965,256.50523238315725,256.50523238315725
1536,256,0.2495,256,256,6140,1008,1,266,267,4.078032405466502,4.5128889322411965,256.50523238315725,256.50523238315725
1792,256,0.2495,256,256,7164,1008,1,267,267,4.591042870232968,4.5128889322411965,256.50523238315725,256.50523238315725
2048,256,0.2495,256,256,8192,1008,1,266,267,4.104083718130596,4.5128889322411965,256.50523238315725,256.50523238315725
2304,256,0.2495,256,256,9216,1008,1,267,267,4.617094182896835,4.5128889322411965,256.50523238315725,256.50523238315725
2560,256,0.2495,256,256,10244,1008,1,266,267,4.130135030794463,4.5128889322411965,256.50523238315725,256.50523238315725
2816,256,0.2495,256,256,11268,1008,1,267,267,4.64314549556093,4.5128889322411965,256.50523238315725,256.50523238315725
3072,256,0.2495,256,256,12296,1008,1,266,267,4.156186343458103,4.5128889322411965,256.50523238315725,256.50523238315725
3328,256,0.2495,256,256,13320,1008,1,267,267,4.669196808224569,4.5128889322411965,256.50523238315725,256.50523238315725
3584,256,0.2495,256,256,14348,1008,1,266,267,4.182237656122197,4.5128889322411965,256.50523238315725,256.50523238315725
3840,256,0.2495,256,256,15372,1008,1,267,267,4.695248120888209,4.5128889322411965,256.50523238315725,256.50523238315725
4096,256,0.2495,256,256,16400,1008,1,266,267,4.208288968786292,4.5128889322411965,256.50523238315725,256.50523238315725
4352,256,0.2495,256,256,17424,1008,1,267,267,4.7212994335523035,4.5128889322411965,256.50523238315725,256.50523238315725
4608,256,0.2495,256,256,18452,1008,1,266,267,4.234340281449477,4.5128889322411965,256.50523238315725,256.50523238315725
4864,256,0.2495,256,256,19476,1008,1,267,267,4.747350746216398,4.5128889322411965,256.50523238315725,256.50523238315725
5120,256,0.2495,256,256,20504,1008,1,266,267,4.260391594113571,4.5128889322411965,256.50523238315725,256.50523238315725
5376,256,0.2495,256,256,21528,1008,1,267,267,4.773402058879583,4.5128889322411965,256.50523238315725,256.50523238315725
5632,256,0.2495,256,256,22556,1008,1,266,267,4.286442906778575,4.5128889322411965,256.50523238315725,256.50523238315725
5888,256,0.2495,256,256,23580,1008,1,267,267,4.799453371544587,4.5128889322411965,256.50523238315725,256.50523238315725
6144,256,0.2495,256,256,24608,1008,1,266,267,4.31249421944176,4.5128889322411965,256.50523238315725,256.50523238315725
6400,256,0.2495,256,256,25632,1008,1,267,267,4.825504684208681,4.5128889322411965,256.50523238315725,256.50523238315725
6656,256,0.2495,256,256,26660,1008,1,266,267,4.338545532105854,4.5128889322411965,256.50523238315725,256.50523238315725
6912,256,0.2495,256,256,27684,1008,1,267,267,4.851555996871866,4.5128889322411965,256.50523238315725,256.50523238315725
7168,256,0.2495,256,256,28712,1008,1,266,267,4.364596844769949,4.5128889322411965,256.50523238315725,256.50523238315725
7424,256,0.2495,256,256,29736,1008,1,267,267,4.877607309535961,4.5128889322411965,256.50523238315725,256.50523238315725
7680,256,0.2495,256,256,30764,1008,1,266,267,4.390648157433134,4.5128889322411965,256.50523238315725,256.50523238315725
7936,256,0.2495,256,256,31788,1008,1,267,267,4.903658622200055,4.5128889322411965,256.50523238315725,256.50523238315725
8192,256,0.2495,256,256,32816,1008,1,266,267,4.416699470099047,4.5128889322411965,256.50523238315725,256.50523238315725
8448,256,0.2495,256,256,33841,1008,1,267,267,4.679717530647395,4.5128889322411965,256.50523238315725,256.50523238315725
8704,256,0.2495,256,256,34869,1008,1,266,267,4.192758378543658,4.5128889322411965,256.50523238315725,256.50523238315725
8960,256,0.2495,256,256,35893,1008,1,267,267,4.7057688433105795,4.5128889322411965,256.50523238315725,256.50523238315725
9216,256,0.2495,256,256,36921,1008,1,266,267,4.218809691206843,4.5128889322411965,256.50523238315725,256.50523238315725
9472,256,0.2495,256,256,37945,1008,1,267,267,4.7318201559737645,4.5128889322411965,256.50523238315725,256.50523238315725
9728,256,0.2495,256,256,38973,1008,1,266,267,4.244861003871847,4.5128889322411965,256.50523238315725,256.50523238315725
9984,256,0.2495,256,256,39997,1008,1,267,267,4.757871468638768,4.5128889322411965,256.50523238315725,256.50523238315725
